ONSCode,local_authority_name,year,cars_and_taxis,ONSGeo_x,DATE,EVCOUNT,filter_id_142,VEHCOUNT,filter_id_105,EVshare_32,EVCOUNT_31,filter_id_142_31,VEHCOUNT_31,filter_id_105_31,EVshare_31,EVCOUNT_7,filter_id_142_7,VEHCOUNT_7,filter_id_105_7,EVshare_7,emiles,emilespct,Dem_MWh,CTYCODE_x,CS_count,Highest_kW,TOTALOUTPUTKW,CTYCODE_y,LA_pct,HHI,OSS,CSUtotal,CSUhighest,id,ONSGeo_y,COMP,NEW
E06000006,Halton,2019,605777672.7,   Halton,2022-03-31,198.0,32,58439.0,30,0.33881483256044764,61.0,31,4733.0,29,1.2888231565603212,618.0,7,63172.0,1,0.9782815171278415,6944311.043486972,1.1463464826188816,2194.402289741883,E06000006,36,368.0,568.0,E06000006,0.0,6543.209876543209,0.32,0.14112819407948313,0.2178282995574631,0,Halton,74250.0,0.0
E06000007,Warrington,2019,1453971674.0,   Warrington,2022-03-31,523.0,32,106418.0,30,0.49145821195662387,181.0,31,4215.0,29,4.294187425860024,896.0,7,110633.0,1,0.8098849348747661,15500287.181483645,1.0660652788950857,4898.090749348832,E06000007,85,1691.6,2860.5,E06000007,0.0,2902.4221453287196,0.32,0.06255049448485578,0.10577304887321469,1,Warrington,0.0,94650.0
E06000008,Blackburn with Darwen,2019,428555650.2,   Blackburn with Darwen,2022-03-31,186.0,32,57959.0,30,0.3209165099466864,118.0,31,3845.0,29,3.0689206762028607,322.0,7,61804.0,1,0.5210018769011715,2987491.365157077,0.6971069833667725,944.0472713896363,E06000008,7,186.0,358.0,E06000008,0.0,1836.734693877551,0.32,0.09632889685361459,0.1854072315784625,2,Blackburn with Darwen,0.0,0.0
E06000009,Blackpool,2019,351839575.4,   Blackpool,2022-03-31,130.0,32,54670.0,30,0.23779037863544905,46.0,31,3158.0,29,1.4566181127295756,316.0,7,57828.0,1,0.546448087431694,2352168.1512353877,0.6685342740540915,743.2851357903825,E06000009,11,165.0,266.0,E06000009,0.0,1074.3801652892562,0.32,0.10207506928834176,0.1645573844284782,3,Blackpool,0.0,0.0
E06000010,"Kingston upon Hull, City of",2019,827160827.6,"   Kingston upon Hull, City of",2022-03-31,191.0,32,92307.0,30,0.20691821855330583,118.0,31,4888.0,29,2.414075286415712,305.0,7,97195.0,1,0.31380215031637426,3542762.291492402,0.4283039250990277,1119.512884111599,E06000010,11,331.0,793.0,E06000010,0.0,1900.8264462809916,0.32,0.051570552107727964,0.12355120187742683,4,"Kingston upon Hull, City of",0.0,0.0
E06000011,East Riding of Yorkshire,2019,1853109246.0,   East Riding of Yorkshire,2022-03-31,917.0,32,181126.0,30,0.5062773980543931,203.0,31,7205.0,29,2.8174878556557945,1147.0,7,188331.0,1,0.6090340942277161,16006929.603771444,0.8637876929448682,5058.189754791777,E06000011,30,468.0,1110.0,E06000011,23.333333333333332,933.3333333333334,0.32,0.16646311258519156,0.3948163567725697,5,East Riding of Yorkshire,46874.0,0.0
E06000012,North East Lincolnshire,2019,610022947.7,   North East Lincolnshire,2022-03-31,203.0,32,68735.0,30,0.2953371644722485,76.0,31,3234.0,29,2.350030921459493,372.0,7,71969.0,1,0.5168892161903041,4092898.0638316367,0.6709416554349791,1293.3557881707973,E06000012,19,417.7,799.4,E06000012,0.0,1191.1357340720222,0.32,0.05910166817673974,0.11310958472704272,6,North East Lincolnshire,0.0,0.0
E06000013,North Lincolnshire,2019,857070224.3,   North Lincolnshire,2022-03-31,310.0,32,85684.0,30,0.361794500723589,134.0,31,3533.0,29,3.7928106425134445,436.0,7,89217.0,1,0.4886961005189594,5840800.479442258,0.6814844704484571,1845.6929515037536,E06000013,12,256.0,620.0,E06000013,0.0,833.3333333333334,0.32,0.108746086404699,0.26336942801138036,7,North Lincolnshire,0.0,66870.0
E06000014,York,2019,796700484.7,   York,2022-03-31,426.0,32,81621.0,30,0.5219245047230492,186.0,31,3964.0,29,4.692230070635722,697.0,7,85585.0,1,0.8143950458608402,8691142.613019899,1.090892095577496,2746.401065714288,E06000014,54,1577.0,3307.0,E06000014,31.48148148148148,2379.9725651577505,0.32,0.030337209883717402,0.06361772548221525,8,York,0.0,0.0
E06000015,Derby,2019,956463199.6,   Derby,2022-03-31,422.0,32,105849.0,30,0.3986811401146917,1158.0,31,10531.0,29,10.996106732504035,1181.0,7,116380.0,1,1.0147791716789827,12832945.153045265,1.3417081972847569,4055.2106683623037,E06000015,77,1630.5,2989.0,E06000015,6.4935064935064934,2669.92747512228,0.32,0.04956023738013268,0.09085283626446893,9,Derby,0.0,0.0
